player_name,p_throws,stand,sugg1,sugg2,sugg3,sugg4,xFF,xSI,xFC,xSL,xCU,xCH
Hyun Jin Ryu,L,L,FC,SI,CU,CH,0.04,0.36,0.58,NA,0.07,0.06
Hyun Jin Ryu,L,R,CH,SI,FF,FC,0.2,0.36,0.16,NA,0.14,0.54
Jordan Romano,R,L,FF,SL,,,0.82,NA,NA,0.68,NA,NA
Jordan Romano,R,R,FF,SL,,,0.94,NA,NA,0.53,NA,NA
Julian Merryweather,R,L,FF,CH,,,0.73,NA,NA,NA,NA,0.09
Julian Merryweather,R,R,FF,SL,CH,CU,0.82,NA,NA,0.8,0.49,0.67
Kirby Yates,R,L,CH,FF,,,0.5,NA,NA,NA,NA,0.84
Kirby Yates,R,R,CH,FF,,,0.2,NA,NA,NA,NA,0.92
Nate Pearson,R,L,FF,CH,CU,SL,0.82,NA,NA,0.27,0.35,0.4
Nate Pearson,R,R,FF,SL,,,0.94,NA,NA,0.68,NA,NA
Rafael Dolis,R,L,CH,SI,,,NA,0.36,NA,NA,NA,0.84
Rafael Dolis,R,R,CH,SL,SI,,NA,0.36,NA,0.88,NA,0.99
Robbie Ray,L,L,CU,SL,FF,,0.35,NA,NA,0.8,0.9,NA
Robbie Ray,L,R,CU,SL,SI,FF,0.73,0.81,NA,0.88,0.9,0.09
Ross Stripling,R,L,CH,SL,FF,,0.04,NA,NA,0.14,NA,0.54
Ross Stripling,R,R,SL,FF,CH,,0.11,NA,NA,0.27,NA,0.09
Ryan Borucki,L,L,SL,SI,,,NA,0.36,NA,0.53,NA,NA
Ryan Borucki,L,R,SL,CH,SI,,NA,0.12,NA,0.88,NA,0.54
Shun Yamaguchi,R,L,FF,CH,SL,,0.35,NA,NA,0.04,NA,0.29
Shun Yamaguchi,R,R,CH,SL,FF,,0.2,NA,NA,0.39,NA,0.77
Steven Matz,L,L,CH,CU,SI,,NA,0.12,NA,NA,0.35,0.4
Steven Matz,L,R,CH,SI,SL,CU,NA,0.81,NA,0.53,0.14,0.84
Tanner Roark,R,L,SI,CU,CH,FF,0.11,0.36,NA,0.08,0.35,0.16
Tanner Roark,R,R,SL,CH,FF,CU,0.35,0.12,NA,0.53,0.35,0.4
Tyler Chatwood,R,L,CU,FC,SI,FF,0.5,0.61,0.71,NA,0.97,0.16
Tyler Chatwood,R,R,SI,FC,,,NA,0.61,0.58,NA,NA,NA
