Name,Team,O-Swing%,Z-Swing%,swing_pct,O-Contact%,Z-Contact%,Contact%,Zone%,f_strike,sw_str,playerid
Jacob deGrom,Mets,0.38,0.75,0.53,0.59,0.80,0.71,0.41,0.64,0.15,10954.00
Justin Verlander,Astros,0.37,0.69,0.52,0.55,0.78,0.69,0.45,0.64,0.16,8700.00
Stephen Strasburg,Nationals,0.37,0.63,0.47,0.57,0.85,0.72,0.39,0.64,0.13,10131.00
Masahiro Tanaka,Yankees,0.37,0.70,0.50,0.67,0.88,0.79,0.40,0.69,0.11,15764.00
Hyun-Jin Ryu,Dodgers,0.37,0.68,0.49,0.67,0.85,0.77,0.40,0.62,0.11,14444.00
Jose Berrios,Twins,0.36,0.65,0.49,0.67,0.86,0.78,0.43,0.65,0.11,14168.00
Patrick Corbin,Nationals,0.36,0.66,0.47,0.52,0.86,0.70,0.36,0.62,0.14,9323.00
Joe Musgrove,Pirates,0.36,0.71,0.52,0.60,0.87,0.77,0.46,0.66,0.12,12970.00
Martin Perez,Twins,0.35,0.69,0.49,0.70,0.88,0.80,0.39,0.64,0.10,6902.00
Max Scherzer,Nationals,0.35,0.72,0.52,0.52,0.78,0.69,0.46,0.70,0.16,3137.00
Miles Mikolas,Cardinals,0.35,0.66,0.49,0.69,0.88,0.80,0.44,0.66,0.10,9803.00
Zack Greinke,- - -,0.35,0.64,0.47,0.68,0.86,0.78,0.39,0.67,0.11,1943.00
Kyle Hendricks,Cubs,0.35,0.66,0.49,0.69,0.86,0.79,0.45,0.66,0.10,12049.00
Clayton Kershaw,Dodgers,0.35,0.72,0.51,0.56,0.87,0.75,0.43,0.67,0.13,2036.00
Shane Bieber,Indians,0.35,0.67,0.48,0.51,0.86,0.71,0.40,0.65,0.14,19427.00
Gerrit Cole,Astros,0.35,0.68,0.50,0.49,0.77,0.66,0.45,0.64,0.17,13125.00
Madison Bumgarner,Giants,0.35,0.71,0.50,0.64,0.86,0.77,0.43,0.70,0.12,5524.00
Matthew Boyd,Tigers,0.35,0.70,0.50,0.56,0.82,0.72,0.42,0.64,0.14,15440.00
Anibal Sanchez,Nationals,0.34,0.69,0.48,0.70,0.86,0.79,0.40,0.64,0.10,3284.00
Zack Wheeler,Mets,0.34,0.70,0.51,0.69,0.85,0.79,0.46,0.66,0.10,10310.00
Mike Leake,- - -,0.34,0.69,0.50,0.72,0.91,0.84,0.46,0.64,0.08,10130.00
Walker Buehler,Dodgers,0.34,0.69,0.50,0.61,0.84,0.76,0.47,0.66,0.12,19374.00
Eduardo Rodriguez,Red Sox,0.34,0.68,0.46,0.65,0.83,0.75,0.37,0.63,0.12,13164.00
Mike Soroka,Braves,0.34,0.68,0.48,0.66,0.87,0.79,0.43,0.64,0.10,18383.00
Yu Darvish,Cubs,0.34,0.65,0.48,0.56,0.82,0.72,0.45,0.62,0.13,13074.00
Luis Castillo,Reds,0.34,0.70,0.47,0.50,0.79,0.66,0.36,0.56,0.16,15689.00
Sandy Alcantara,Marlins,0.34,0.70,0.49,0.64,0.87,0.78,0.42,0.60,0.11,18684.00
Aaron Nola,Phillies,0.34,0.60,0.44,0.63,0.86,0.75,0.40,0.62,0.11,16149.00
Charlie Morton,Rays,0.34,0.64,0.47,0.56,0.84,0.73,0.45,0.63,0.13,4676.00
Noah Syndergaard,Mets,0.34,0.72,0.50,0.64,0.82,0.75,0.44,0.66,0.13,11762.00
Ivan Nova,White Sox,0.33,0.70,0.49,0.71,0.91,0.83,0.42,0.61,0.08,1994.00
Marco Gonzales,Mariners,0.33,0.66,0.48,0.77,0.87,0.83,0.44,0.66,0.08,15467.00
German Marquez,Rockies,0.33,0.68,0.49,0.52,0.86,0.74,0.47,0.64,0.13,15038.00
Jack Flaherty,Cardinals,0.32,0.69,0.48,0.57,0.81,0.71,0.43,0.60,0.14,17479.00
Rick Porcello,Red Sox,0.32,0.69,0.49,0.76,0.88,0.84,0.46,0.68,0.08,2717.00
Homer Bailey,- - -,0.32,0.71,0.48,0.64,0.86,0.78,0.43,0.64,0.11,8362.00
Mike Minor,Rangers,0.32,0.69,0.48,0.67,0.82,0.76,0.43,0.61,0.12,10021.00
Lucas Giolito,White Sox,0.32,0.69,0.49,0.55,0.77,0.70,0.47,0.62,0.15,15474.00
Max Fried,Braves,0.32,0.68,0.47,0.59,0.86,0.76,0.42,0.64,0.12,13743.00
Anthony DeSclafani,Reds,0.32,0.70,0.48,0.62,0.89,0.79,0.43,0.61,0.10,13050.00
Zach Eflin,Phillies,0.32,0.68,0.48,0.71,0.87,0.81,0.44,0.68,0.09,13774.00
Robbie Ray,Diamondbacks,0.32,0.66,0.45,0.56,0.80,0.70,0.38,0.59,0.14,11486.00
Trevor Bauer,- - -,0.31,0.66,0.45,0.56,0.85,0.73,0.40,0.60,0.12,12703.00
Marcus Stroman,- - -,0.31,0.66,0.45,0.62,0.89,0.77,0.39,0.57,0.10,13431.00
Jeff Samardzija,Giants,0.31,0.71,0.48,0.74,0.86,0.82,0.43,0.61,0.09,3254.00
Brad Keller,Royals,0.31,0.67,0.46,0.69,0.90,0.82,0.41,0.57,0.08,15734.00
Merrill Kelly,Diamondbacks,0.31,0.70,0.47,0.68,0.86,0.79,0.41,0.58,0.10,11156.00
Jakob Junis,Royals,0.30,0.66,0.45,0.62,0.89,0.78,0.42,0.62,0.10,13619.00
Sonny Gray,Reds,0.30,0.60,0.42,0.54,0.88,0.73,0.38,0.56,0.11,12768.00
Brett Anderson,Athletics,0.30,0.68,0.47,0.70,0.91,0.84,0.45,0.59,0.08,8223.00
Mike Fiers,Athletics,0.30,0.67,0.47,0.74,0.89,0.83,0.46,0.65,0.08,7754.00
Jon Lester,Cubs,0.30,0.70,0.45,0.70,0.87,0.80,0.38,0.59,0.09,4930.00
Lance Lynn,Rangers,0.30,0.72,0.49,0.62,0.81,0.74,0.44,0.63,0.13,2520.00
Jose Quintana,Cubs,0.29,0.66,0.44,0.67,0.90,0.81,0.40,0.62,0.08,11423.00
Joey Lucchesi,Padres,0.29,0.69,0.45,0.60,0.88,0.77,0.39,0.63,0.10,19320.00
Wade Miley,Astros,0.29,0.70,0.44,0.68,0.87,0.79,0.37,0.56,0.09,8779.00
Julio Teheran,Braves,0.29,0.72,0.45,0.71,0.86,0.80,0.38,0.60,0.09,6797.00
Reynaldo Lopez,White Sox,0.29,0.71,0.49,0.65,0.83,0.77,0.47,0.60,0.11,16400.00
Tanner Roark,- - -,0.28,0.71,0.46,0.70,0.88,0.81,0.41,0.57,0.09,8753.00
Dakota Hudson,Cardinals,0.28,0.66,0.44,0.58,0.89,0.78,0.42,0.56,0.10,19206.00
Adam Wainwright,Cardinals,0.26,0.62,0.42,0.68,0.90,0.82,0.43,0.59,0.08,2233.00
