pitch_type,p_throws,stand,player_name,actual_whiff,mph,rpm,axis,pfx_x,pfx_z,exp_whiff_rate,n
CH,L,L,Joely Rodriguez,0.36363636363636376,89.17272727272727,1079.1818181818182,103,1.010909090909091,-0.04818181818181818,0.27,11
CH,L,L,Chasen Shreve,0.2962962962962963,83.44444444444444,1252.5185185185185,119.62962962962963,1.0896296296296297,0.4766666666666667,0.25,27
CH,L,L,Patrick Sandoval,0.09090909090909083,84.17272727272727,1585,122.27272727272727,0.9036363636363636,0.7627272727272727,0.21,11
CH,L,L,Hyun Jin Ryu,0.15384615384615397,79.07692307692308,1494.923076923077,116,1.1638461538461538,0.5969230769230769,0.2,13
CH,L,L,Luis Avilan,0.33333333333333326,84.04285714285714,2158.7619047619046,125.76190476190476,1.2538095238095237,0.3385714285714286,0.17,21
CH,L,R,Tommy Milone,0.25773195876288657,78.848453608247425,1756.4536082474226,130.5463917525773,1.2476288659793815,0.6889690721649484,0.28,97
CH,L,R,Caleb Smith,0.05882352941176472,81.94705882352942,1910.7058823529412,129.35294117647058,1.1629411764705881,1.1347058823529412,0.26,17
CH,L,R,Carlos Rodon,0.16666666666666652,84.175,1803.75,125.5,1.1841666666666666,0.8191666666666667,0.26,12
CH,L,R,James Paxton,0.28,81.748,2221.12,106.32,1.3128,0.4064,0.26,25
CH,L,R,Matthew Boyd,0.29487179487179493,79.0448717948718,1878.923076923077,121.8974358974359,1.3337179487179487,0.5546153846153846,0.26,78
CH,R,L,Zac Gallen,0.28125,85.18125,1546.796875,238.046875,-1.12453125,0.28890625,0.51,64
CH,R,L,Max Scherzer,0.12280701754385959,84.98421052631579,1443.701754385965,244.7017543859649,-1.2035087719298245,0.21263157894736842,0.5,57
CH,R,L,Tyler Zuber,0.1428571428571428,86.33571428571429,1238.9285714285713,260.07142857142856,-0.9828571428571429,-0.19285714285714287,0.49,14
CH,R,L,Bryan Garcia,0.2777777777777777,86.7,1900.5,255.27777777777777,-1.4955555555555555,0.2611111111111111,0.48,18
CH,R,L,Chris Martin,0.2727272727272727,86.2909090909091,1391.5454545454545,229,-0.87,0.22090909090909092,0.48,11
CH,R,R,Blake Parker,0.33333333333333326,80.17777777777778,903.5185185185185,248.59259259259258,-0.8096296296296296,0.16333333333333333,0.21,27
CH,R,R,Devin Williams,0.5250000000000001,84.2225,2859.025,264.525,-1.53225,-0.13775,0.21,40
CH,R,R,Frankie Montas,0.3999999999999999,86.79333333333334,1764.5333333333333,225.26666666666668,-1.0866666666666667,0.4513333333333333,0.2,15
CH,R,R,Jacob deGrom,0.36363636363636376,91.81818181818181,1613.909090909091,231.0909090909091,-1.1481818181818182,0.31181818181818183,0.2,11
