pitch_type,p_throws,stand,player_name,mph,rpm,axis,pfx_x,pfx_z,exp_whiff_rate,n
FC,L,L,Brooks Raley,86.41428571428571,2630.0476190476193,196.0952380952381,-0.518095238095238,0.3680952380952381,0.23,21
FC,L,L,Jace Fry,86.61666666666666,2439.3888888888887,127.22222222222223,0.0038888888888888875,0.25333333333333335,0.22,18
FC,L,L,A.J. Minter,87.6962962962963,2371.962962962963,210.2962962962963,-0.3511111111111111,0.26666666666666666,0.2,27
FC,L,L,Josh Osich,86.83225806451613,2238.0967741935483,188.48387096774192,-0.22451612903225807,0.3038709677419355,0.2,31
FC,L,L,Tyler Matzek,89.1625,2751.6875,202.0625,-0.455,0.49375,0.2,16
FC,L,R,Jace Fry,86.58529411764705,2443.676470588235,121.67647058823529,-0.0738235294117647,0.12029411764705883,0.21,34
FC,L,R,Caleb Ferguson,87.2,2724.6153846153848,278.46153846153845,-0.4246153846153846,-0.07846153846153846,0.18,13
FC,L,R,Aaron Loup,85.3923076923077,2388.5384615384614,135.07692307692307,-0.009615384615384614,0.2403846153846154,0.17,26
FC,L,R,Brooks Raley,86.80888888888889,2445.4666666666667,183.82222222222222,-0.45311111111111113,0.5213333333333333,0.17,45
FC,L,R,Wade Miley,85.76122448979592,2357.6326530612246,202.3877551020408,-0.4342857142857143,0.4140816326530612,0.16,49
FC,R,L,Marcus Walden,89.9578947368421,2260.842105263158,197.68421052631578,0.21894736842105264,0.4705263157894737,0.22,19
FC,R,L,Erick Fedde,89.04375,2015.4375,170.6875,0.275,0.475,0.2,16
FC,R,L,Tyler Chatwood,89.69090909090909,2696.3636363636365,138.3181818181818,0.3331818181818182,0.3054545454545455,0.2,22
FC,R,L,Alex Colome,89.0921875,2114.71875,169.34375,0.3178125,0.47265625,0.19,64
FC,R,L,Corbin Burnes,93.23846153846154,2917.653846153846,187.125,0.35625,0.7966346153846153,0.19,104
FC,R,L,Dan Winkler,87.61818181818182,2437,158.6060606060606,0.4033333333333333,0.45303030303030306,0.19,33
FC,R,L,Dustin May,93.77321428571429,2663.4821428571427,205.44642857142858,-0.010535714285714285,0.6341071428571429,0.19,56
FC,R,L,Nathan Eovaldi,91.6108108108108,2272.2162162162163,182.97297297297297,0.11945945945945946,0.575945945945946,0.19,37
FC,R,L,Phil Maton,85.215,2784.8,72.55,0.8285,-0.209,0.19,20
FC,R,L,Trevor Bauer,85.19122807017544,2868.280701754386,122.45614035087719,0.43350877192982457,-0.08596491228070176,0.19,57
FC,R,R,Phil Maton,85.478125,2803.5625,76.21875,0.8934375,-0.028124999999999997,0.33,32
FC,R,R,Kenley Jansen,90.84827586206896,2535.206896551724,158.8448275862069,0.6763793103448276,1.078103448275862,0.29,58
FC,R,R,Shawn Armstrong,88.91153846153847,2639.076923076923,134.96153846153845,0.5576923076923077,0.39692307692307693,0.28,26
FC,R,R,Tyler Chatwood,89.8578947368421,2759.684210526316,143.42105263157896,0.42105263157894735,0.28,0.27,19
FC,R,R,Walker Buehler,92.19444444444444,2825.4444444444443,178.05555555555554,0.5194444444444445,0.8405555555555555,0.27,18
FC,R,R,Zac Gallen,86.64444444444445,2381.766666666667,132.61111111111111,0.5592222222222222,0.23677777777777778,0.27,90
FF,L,L,Blake Taylor,93.61463414634146,2283.1463414634145,171.3658536585366,-0.1275609756097561,1.349268292682927,0.27,41
FF,L,L,Clayton Kershaw,91.63888888888889,2496,173.36111111111111,-0.05972222222222222,1.6536111111111111,0.22,36
FF,L,L,Aroldis Chapman,97.3962962962963,2473.925925925926,152.55555555555554,0.44962962962962966,1.5396296296296297,0.18,27
FF,L,L,Caleb Thielbar,89.14444444444445,2362.814814814815,172.59259259259258,0.08370370370370371,1.6022222222222222,0.17,27
FF,L,L,Drew Pomeranz,94.6,2496.423076923077,157.1153846153846,0.29384615384615387,1.5992307692307692,0.17,26
FF,L,L,Tanner Scott,96.41147540983607,2643.1475409836066,149,0.3122950819672131,1.2581967213114753,0.17,61
FF,L,L,Yusei Kikuchi,94.56666666666666,2180.404761904762,154.45238095238096,0.5104761904761905,1.5669047619047618,0.17,42
FF,L,R,Garrett Crochet,100.065,2455.5,145.9,0.751,1.3915,0.18,20
FF,L,R,Josh Hader,94.64021739130435,2066.8260869565215,142.3804347826087,0.826195652173913,1.423695652173913,0.18,92
FF,L,R,Aroldis Chapman,98.11463414634146,2450.4634146341464,153.97560975609755,0.3826829268292683,1.5592682926829269,0.17,41
FF,L,R,Tim Hill,91.41395348837209,2199.7906976744184,93.04651162790698,1.5672093023255813,0.39511627906976743,0.17,43
FF,L,R,Caleb Baragar,93.99605263157895,2471.315789473684,150.42105263157896,0.6961842105263157,1.595,0.16,76
FF,L,R,Jake Diekman,95.20819672131148,2262.1475409836066,125.9672131147541,1.100327868852459,1.0995081967213114,0.16,61
FF,R,L,Edwin Diaz,97.96376811594203,2338.1304347826085,233.8695652173913,-1.202463768115942,1.1036231884057972,0.26,69
FF,R,L,Craig Kimbrel,96.824,2268.8,226.82,-0.8654000000000001,1.174,0.25,50
FF,R,L,Daniel Hudson,96.7265625,2332.328125,215.625,-0.84375,1.44234375,0.23,64
FF,R,L,Trevor Gott,95.24545454545455,2564.181818181818,224.54545454545453,-0.8290909090909091,1.1509090909090909,0.23,11
FF,R,L,Gerrit Cole,96.77106918238994,2511.9937106918237,218.86163522012578,-1.0256603773584905,1.501698113207547,0.21,159
FF,R,L,Keynan Middleton,96.82,2545.75,217.65,-0.756,1.445,0.21,20
FF,R,L,Mychal Givens,95.416,2447.92,232.12,-0.8556,1.0452,0.21,25
FF,R,L,Taylor Widener,94.43829787234043,2331.7659574468084,214.4255319148936,-0.6331914893617021,1.4229787234042552,0.21,47
FF,R,L,Taylor Williams,94.91578947368421,2341.315789473684,235.1578947368421,-1.0205263157894737,0.9363157894736842,0.21,19
FF,R,R,Tyler Glasnow,96.91507936507936,2411.373015873016,187.9920634920635,-0.0051587301587301595,1.4734920634920634,0.2,126
FF,R,R,Enoli Paredes,95.824,2393.88,202.98,-0.1964,1.3578,0.19,50
FF,R,R,Walker Buehler,96.88378378378378,2536.472972972973,195.51351351351352,-0.397027027027027,1.633108108108108,0.19,74
FF,R,R,Jacob deGrom,98.59024390243903,2475.9756097560976,212.78861788617886,-0.5542276422764227,1.3804065040650406,0.18,123
FF,R,R,Luis Patino,96.41224489795918,2473.918367346939,189.40816326530611,-0.10938775510204081,1.4140816326530612,0.18,49
SI,L,L,Gregory Soto,97.63939393939394,2408.757575757576,150.03030303030303,1.1433333333333333,0.9266666666666666,0.11,33
SI,L,L,Aaron Loup,91.66129032258064,2085.4193548387098,111.03225806451613,1.6329032258064515,0.28419354838709676,0.1,31
SI,L,L,Alex Young,90.88181818181818,2349.5454545454545,132.36363636363637,1.3818181818181818,0.7809090909090909,0.1,11
SI,L,L,Brooks Raley,90.0764705882353,2459.823529411765,139.11764705882354,1.238235294117647,0.6476470588235295,0.1,17
SI,L,L,Gio Gonzalez,89.26666666666667,2170.0555555555557,153.44444444444446,1.198888888888889,0.89,0.1,18
SI,L,L,Jesus Luzardo,95.29473684210527,2342,124.47368421052632,1.513157894736842,0.65,0.1,19
SI,L,L,Joely Rodriguez,94.9,2012.5714285714287,122.92857142857143,1.5392857142857144,0.49642857142857144,0.1,14
SI,L,L,Jordan Montgomery,92.312,2159.56,149.4,1.2032,1.07,0.1,25
SI,L,L,Jose Alvarez,90.99090909090908,2333.6363636363635,124.27272727272727,1.51,0.9163636363636364,0.1,11
SI,L,L,Kyle Freeland,91.88,2414.9333333333334,137.8,1.2333333333333334,0.5693333333333334,0.1,15
SI,L,L,Matt Strahm,92.91379310344827,2291.5862068965516,118.51724137931035,1.5162068965517241,0.7755172413793103,0.1,29
SI,L,L,Taylor Rogers,94.55,2165.3333333333335,133.38888888888889,1.3922222222222222,0.6333333333333333,0.1,18
SI,L,L,Tim Hill,89.99142857142857,2091.714285714286,91.85714285714286,1.4322857142857144,-0.316,0.1,35
SI,L,L,Wandy Peralta,94.51666666666667,2260.222222222222,138.72222222222223,1.26,0.9033333333333333,0.1,18
SI,L,R,Jeffrey Springs,92.16444444444444,2229.6,141.11111111111111,0.8457777777777777,1.4331111111111112,0.11,45
SI,L,R,James Pazos,91.84545454545454,1989.409090909091,145.27272727272728,0.71,0.8713636363636363,0.1,22
SI,L,R,Marco Gonzales,88.12426470588235,2137.1323529411766,150.22058823529412,0.8916176470588235,1.453455882352941,0.1,136
SI,L,R,Trevor Rogers,93.13076923076923,2419.076923076923,123.46153846153847,1.3984615384615384,1.1992307692307693,0.1,13
SI,L,R,Alex Wood,90.752,2131.28,133.48,1.1388,1.1348,0.09,25
SI,L,R,Derek Holland,92.38571428571429,2435.252747252747,127.64835164835165,1.3046153846153845,1.1243956043956045,0.09,91
SI,L,R,Genesis Cabrera,96.9,2327.6153846153848,152.53846153846155,1.1684615384615384,1.2253846153846153,0.09,13
SI,L,R,Gregory Soto,97.26629213483146,2405.921348314607,148.51685393258427,1.205505617977528,0.893370786516854,0.09,89
SI,L,R,Joely Rodriguez,94.56086956521739,2040.8695652173913,122.8695652173913,1.5065217391304349,0.5639130434782609,0.09,23
SI,L,R,Robbie Ray,93.42857142857143,2300.0714285714284,141.85714285714286,1.2464285714285714,1.0471428571428572,0.09,14
SI,L,R,Sean Manaea,90.17286821705426,1883.3798449612402,136.29457364341084,1.025658914728682,0.8679844961240311,0.09,129
SI,L,R,Steven Matz,94.57777777777778,2235.5384615384614,124.33333333333333,1.243076923076923,1.058888888888889,0.09,117
SI,L,R,Tim Hill,89.6,1966.5151515151515,91.54545454545455,1.480909090909091,-0.3148484848484849,0.09,33
SI,R,L,Anibal Sanchez,90.07142857142857,2116.4285714285716,207.07142857142858,-1.0114285714285713,1.2792857142857144,0.05,14
SI,R,L,Anthony Bass,94.475,2001.9285714285713,207.92857142857142,-1.0925,1.1507142857142858,0.05,28
SI,R,L,Carlos Hernandez,96.02941176470588,2418.1176470588234,216.2941176470588,-0.8858823529411765,1.45,0.05,17
SI,R,L,Corbin Burnes,96.05076923076923,2666.6615384615384,201.30769230769232,-0.9801538461538462,1.0638461538461539,0.05,65
SI,R,L,Dinelson Lamet,96.88076923076923,2430.3846153846152,205.34615384615384,-1.1026923076923076,1.3357692307692308,0.05,26
SI,R,R,Anibal Sanchez,89.91764705882353,2085.9411764705883,203.35294117647058,-0.9882352941176471,1.248235294117647,0.05,17
SI,R,R,Anthony Bass,94.91785714285714,2041.982142857143,206.69642857142858,-1.0991071428571428,1.1417857142857142,0.05,56
SI,R,R,Corbin Burnes,96.11866666666667,2701.4133333333334,198.36,-0.9936,1.1341333333333332,0.05,75
SI,R,R,Diego Castillo,96.04333333333334,1971.2666666666667,227.3,-1.475,0.657,0.05,30
SI,R,R,Justin Topa,97.94615384615385,2132.6153846153848,239.92307692307693,-1.496923076923077,0.28923076923076924,0.05,13
SI,R,R,Rafael Dolis,94.55853658536586,2223.0243902439024,206.70731707317074,-1.1958536585365853,1.195609756097561,0.05,41
SI,R,R,Sam Gaviglio,87.6,2029,219.36363636363637,-1.2718181818181817,0.46636363636363637,0.05,11
SI,R,R,Sonny Gray,93.07428571428571,2447,200.04285714285714,-1.076142857142857,0.8907142857142857,0.05,70
