p_throws,stand,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
L,L,A.J. Minter,,,99,76,,,3.24,3.42,14.8,3.3,8.2,83
L,L,Aaron Loup,,,,,99,,4.49,4.2,10.4,4.1,4.2,94
L,L,Adam Kolarek,,,,,95,,4.06,3.88,7.5,2,5.6,72
L,L,Adam Morgan,,,,,,42,3.78,4.23,13.7,4.1,10.3,58
L,L,Alex Claudio,,,,,14.000000000000002,42,4.01,4.06,9.1,2.6,7.4,80
L,L,Alex Wood,88,,,,60,,3.81,3.9,10.6,2.8,7.7,65
L,L,Alex Young,,98,48,19,,,3.81,3.82,12,3.4,6.9,204
L,L,Amir Garrett,,,,19,,89,3.32,3.71,13.1,2.8,10.1,66
L,L,Andrew Heaney,,96,,13,,,4.38,4.39,12.1,4.6,6.5,278
L,L,Andrew Miller,,,,,,49,3.97,4.24,9.9,2.8,9.1,55
L,L,Anthony Kay,,55.00000000000001,,85,,,3.76,4.53,10.8,2.7,13.3,97
L,L,Anthony Misiewicz,,,89,,,,2.82,2.68,12.5,1.4,6,82
L,L,Austin Gomber,,,,67,,,4.38,5.1,10.6,4,12.6,119
L,L,Blake Snell,,,,96,,77,2.66,2.9,16.1,2.7,8.9,197
L,L,Blake Taylor,,,,96,,59,3.32,4,12.9,2.7,12.6,86
L,L,Brent Suter,,,,80,,,4.76,4.4,6.4,3,3.9,123
L,L,Brett Anderson,,,,,70,,3.99,3.77,10,2.9,5,203
L,L,Brooks Raley,,,96,,,77,2.94,2.96,14.6,2.6,7.1,84
L,L,Caleb Baragar,,,,88,,,4.04,3.95,13.9,4.7,5.7,88
L,L,Caleb Ferguson,,,,56.99999999999999,,,3.82,3.51,14,4.3,4,75
L,L,Caleb Thielbar,,,,17,,,4.72,5.24,9.3,4.2,11,84
L,L,Chasen Shreve,100,,,13,,,3.51,4.13,14,3.6,11.8,100
L,L,Clayton Kershaw,,,,92,,14.000000000000002,4.04,3.69,12.7,4.2,3.6,199
L,L,Dallas Keuchel,,,68,,53,,3.85,3.81,9.9,2.5,6.6,258
L,L,Daniel Castano,,,,44,,15,4.55,4.78,8.4,3.4,8.7,127
L,L,Daniel Norris,,,,45,,50,3.66,3.57,12.8,3.4,6,116
L,L,Danny Duffy,,,,61,,,4.07,4.36,10.9,3.5,9.1,242
L,L,David Peterson,,,,19,,59,3.96,4.55,11.3,3.4,11.7,205
L,L,Derek Holland,98,,,,87,,5.08,5.34,11.3,5.8,8.4,182
L,L,Drew Pomeranz,,,,100,,,3.44,4.27,13,3,13.7,73
L,L,Drew Smyly,,97,,74,,,3.62,3.78,12.4,3.1,8.1,111
L,L,Framber Valdez,,84,,,96,,3.78,3.6,9.3,2.1,5.6,306
L,L,Genesis Cabrera,,55.00000000000001,,85,,,3.6,4.78,11.5,2.7,16.7,96
L,L,Gio Gonzalez,68,,,27,67,,3.78,4.45,11.1,2.9,12.4,156
L,L,Grant Dayton,,28.999999999999996,,76,,,4.48,4.71,10.8,4.3,8.5,116
L,L,Gregory Soto,,,,,96,,4.6,5.41,10.5,4.4,13.3,98
L,L,Hoby Milner,,4,,,26,,4.91,5.33,7.3,3.7,10.2,58
L,L,Hyun Jin Ryu,17,55.00000000000001,61,44,,,4.01,3.93,10.1,3,6.2,275
L,L,J.A. Happ,,,,35,79,50,4.31,4.43,10.4,3.7,7.7,197
L,L,Jace Fry,,,96,,,,3.83,4.46,11.8,3.3,12,81
L,L,Jake Diekman,,,,51,,99,3.29,4.04,13.1,2.7,13.1,86
L,L,Jake McGee,,,,35,,,4.46,4.11,10.2,3.9,3.8,79
L,L,Jalen Beeks,,,,61,,,3.29,3.04,12.3,2.4,4.9,68
L,L,James Paxton,,,,13,,,4.48,4.64,11.4,4.6,7.8,90
L,L,Jarlin Garcia,,,,10,,43,4.6,4.96,10.5,4.4,9.5,73
L,L,Jeffrey Springs,,,,,60,81,3.64,3.56,12.3,3.1,6.1,98
L,L,Jesus Luzardo,,98,,44,87,,3.66,3.63,12.8,3.4,6.5,264
L,L,John Means,,,,74,,3,4.17,3.87,12.7,4.4,4,176
L,L,Jon Lester,,,32,,78,,4.4,4.36,9.3,3.5,6.4,265
L,L,Jordan Montgomery,,100,,,92,,4.12,3.89,11.7,3.9,4.7,193
L,L,Josh Fleming,,,,,96,,3.46,3.25,9.7,1.6,5.4,131
L,L,Josh Hader,,,,97,,,2.82,3.55,16.7,3.3,12.8,78
L,L,Josh Osich,,,70,,,,3.89,3.76,10.8,3,5.8,87
L,L,Julio Urias,,74,,90,,,3.15,3.28,13.2,2.5,8,220
L,L,Justin Wilson,,,,93,,,3.43,3.71,11.5,2.3,9.3,83
L,L,Justus Sheffield,,,,,96,59,3.72,3.92,10.2,2.4,8.6,234
L,L,Keegan Akin,,,,21,,,4.78,5.05,11.6,5.2,8.6,117
L,L,Kolby Allard,,,73,53,,,4.13,4.9,10.2,3.3,13.2,153
L,L,Kris Bubic,,,,67,,,4.3,4.64,10.8,3.9,9.5,221
L,L,Kwang Hyun Kim,,,,53,,42,4.32,4.27,8.6,3,6.5,152
L,L,Kyle Freeland,,,,59,90,22,3.91,4.01,10.7,3,7.6,305
L,L,Kyle Ryan,,,,,3,,5.62,5.97,9.3,6.1,9.1,66
L,L,Madison Bumgarner,,,28.000000000000004,53,,,5.08,5.02,10.6,5.5,5.8,188
L,L,Marco Gonzales,8,8,,,60,,4.94,4.44,8.1,4.1,2.5,277
L,L,Martin Perez,,,,,96,,3.7,4.15,10.2,2.4,10.7,263
L,L,Matt Hall,,,,40,,,4.71,6.13,8.5,3.8,18.5,54
L,L,Matt Strahm,,,,,87,,3.9,3.65,10.2,2.8,4.8,84
L,L,Matthew Boyd,,,,19,,33,4.06,4.23,11.5,3.7,8.1,271
L,L,Max Fried,,,,90,,59,3.59,3.76,9.4,1.8,8.5,226
L,L,Mike Minor,,,,67,,3,4.55,4.75,9.4,3.8,8.4,239
L,L,Nick Margevicius,,,,68,,22,4.42,4.47,9.8,3.7,7.1,168
L,L,Nik Turley,,49,,85,,,4.06,4.55,10.1,3.1,10.9,91
L,L,Oliver Perez,,,,,87,22,4.55,4.24,8.2,3.3,4.2,71
L,L,Patrick Corbin,,,,34,40,28.999999999999996,4.45,4.35,10,3.9,5.8,294
L,L,Patrick Sandoval,,,,51,,6,3.94,4.03,12,3.6,7.5,159
L,L,Paul Fry,,,,53,,95,3.08,3.34,12.7,2.1,9.2,98
L,L,Rich Hill,,8,,,,,5.38,5.92,8,5,10.9,150
L,L,Richard Bleier,,,,,40,92,3.94,3.64,9.3,2.5,4.5,66
L,L,Robbie Erlin,,,,21,,,4.96,4.77,9.8,4.9,4.9,121
L,L,Robbie Ray,,,,74,,26,3.82,5.14,14.6,4.5,17.5,261
L,L,Ross Detwiler,,,,,92,,4.49,4.28,9.7,3.8,4.9,80
L,L,Ryan Borucki,,,,,87,74,3.6,4.59,11.6,2.7,15.1,71
L,L,Ryan Yarbrough,,90,,,52,,3.87,3.61,10.8,3,4.7,220
L,L,Sam Howard,,,,59,,28.999999999999996,4.37,4.81,13,5,10,90
L,L,Sam Selman,,,,68,,9,3.77,4.28,12.2,3.3,11,82
L,L,Scott Alexander,,,,,96,,3.99,4.99,8,2,15.4,51
L,L,Sean Manaea,,45,,,60,,4.32,3.93,9.1,3.2,3.6,222
L,L,Sean Newcomb,,,,93,,,4.19,4.41,10.4,3.5,8.6,70
L,L,Stephen Tarpley,,,,,79,,4.64,5.19,8.5,3.6,11.3,51
L,L,Steven Brault,,,,,,89,3.51,4.16,11.7,2.6,12.4,176
L,L,Steven Matz,,,,,85,,4.1,4.13,11.1,3.6,7,143
L,L,T.J. McFarland,,,,,70,,3.74,3.53,8.8,1.8,5.4,93
L,L,Tanner Scott,,,,92,,74,2.51,3.08,16.5,2.5,11.6,87
L,L,Tarik Skubal,,,,59,,,4.24,4.44,12.9,4.7,8.2,133
L,L,Taylor Hearn,,,,81,,14.000000000000002,3.65,4.59,13.5,3.6,14.5,74
L,L,Tim Hill,,,,2,95,,4.54,4.5,9.8,4,6.3,78
L,L,Tommy Milone,,,,8,,43,4.93,4.57,11.4,5.5,3.3,181
L,L,Tony Watson,,,,,26,,4.07,3.73,9.8,2.9,4.1,74
L,L,Trevor Rogers,,,,27,,2,4.1,4.5,11.6,3.8,10,130
L,L,Tyler Alexander,,,,,,92,3.79,3.67,10.9,2.9,5.9,147
L,L,Tyler Anderson,,,84,19,70,,4.26,4.62,11.5,4.1,9.6,261
L,L,Tyler Matzek,,,,96,,42,3.37,3.55,13.1,2.9,8.3,121
L,L,Tyler Webb,,43,,59,79,,4.14,4.27,9.5,3,8,87
L,L,Victor Gonzalez,,,,,100,95,2.99,2.43,12.2,1.7,2.5,80
L,L,Wandy Peralta,,,,,92,74,2.96,3.28,14.3,2.5,9.6,108
L,L,Wes Benjamin,,,,35,,,4.57,4.65,11.4,4.7,7.1,98
L,L,Will Smith,,,,,,66,3.92,3.9,12.4,3.8,6.5,62
L,L,Yusei Kikuchi,,,46,65,,15,3.66,4.09,12.4,3.2,10.3,194
L,L,Zack Britton,,,,,99,,3.91,4.17,8.8,2.2,9.2,77
L,R,A.J. Minter,43,,34,82,,,3.24,3.42,14.8,3.3,8.2,83
L,R,Aaron Loup,,,7.000000000000001,,14.000000000000002,,4.49,4.2,10.4,4.1,4.2,94
L,R,Adam Kolarek,,,,,20,,4.06,3.88,7.5,2,5.6,72
L,R,Alex Claudio,45,,,,70,,4.01,4.06,9.1,2.6,7.4,80
L,R,Alex Wood,25,,,,36,,3.81,3.9,10.6,2.8,7.7,65
L,R,Alex Young,40,42,23,13,14.000000000000002,,3.81,3.82,12,3.4,6.9,204
L,R,Amir Garrett,,,,53,,88,3.32,3.71,13.1,2.8,10.1,66
L,R,Andrew Heaney,43,9,,10,,,4.38,4.39,12.1,4.6,6.5,278
L,R,Andrew Miller,,,,,,21,3.97,4.24,9.9,2.8,9.1,55
L,R,Anthony Kay,40,,,61,,,3.76,4.53,10.8,2.7,13.3,97
L,R,Anthony Misiewicz,,,85,68,,,2.82,2.68,12.5,1.4,6,82
L,R,Austin Gomber,28.000000000000004,,,35,,9,4.38,5.1,10.6,4,12.6,119
L,R,Blake Snell,77,99,,76,,98,2.66,2.9,16.1,2.7,8.9,197
L,R,Blake Taylor,,,,93,,,3.32,4,12.9,2.7,12.6,86
L,R,Brad Hand,,,,1,14.000000000000002,33,4.63,4.4,9.6,4.1,4.7,86
L,R,Brent Suter,52,,,34,,,4.76,4.4,6.4,3,3.9,123
L,R,Brett Anderson,40,,43,,70,9,3.99,3.77,10,2.9,5,203
L,R,Brett Martin,,,,74,,66,3.62,4.59,12.9,3.3,14.8,60
L,R,Brooks Raley,,,81,,,,2.94,2.96,14.6,2.6,7.1,84
L,R,Caleb Baragar,,,,73,,,4.04,3.95,13.9,4.7,5.7,88
L,R,Caleb Ferguson,,,,93,,,3.82,3.51,14,4.3,4,75
L,R,Caleb Smith,,,,5,,,5.44,7.12,12.2,6.9,20,60
L,R,Caleb Thielbar,,23,,40,,,4.72,5.24,9.3,4.2,11,84
L,R,Chasen Shreve,90,,,17,,,3.51,4.13,14,3.6,11.8,100
