p_throws,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
L,A.J. Minter,44,,81,83,,,3.24,3.42,14.8,3.3,8.2,83
L,Aaron Loup,,,8,,80,,4.49,4.2,10.4,4.1,4.2,94
L,Adam Kolarek,,,,,83,,4.06,3.88,7.5,2,5.6,72
L,Adam Morgan,,,,,,38,3.78,4.23,13.7,4.1,10.3,58
L,Alex Claudio,48,,,,34,42,4.01,4.06,9.1,2.6,7.4,80
L,Alex Wood,53,,,,44,,3.81,3.9,10.6,2.8,7.7,65
L,Alex Young,41,82,38,19,12,,3.81,3.82,12,3.4,6.9,204
L,Amir Garrett,,,,48,,88,3.32,3.71,13.1,2.8,10.1,66
L,Andrew Heaney,44,67,,10,,,4.38,4.39,12.1,4.6,6.5,278
L,Andrew Miller,,,,,,36,3.97,4.24,9.9,2.8,9.1,55
L,Anthony Kay,41,61,,77,,,3.76,4.53,10.8,2.7,13.3,97
L,Anthony Misiewicz,,,93,71,,,2.82,2.68,12.5,1.4,6,82
L,Austin Gomber,28.000000000000004,,,53,,7.000000000000001,4.38,5.1,10.6,4,12.6,119
L,Blake Snell,83,100,,87,,92,2.66,2.9,16.1,2.7,8.9,197
L,Blake Taylor,,,,96,,63,3.32,4,12.9,2.7,12.6,86
L,Brad Hand,,,,2,12,32,4.63,4.4,9.6,4.1,4.7,86
L,Brent Suter,57.99999999999999,,,55.00000000000001,,,4.76,4.4,6.4,3,3.9,123
L,Brett Anderson,41,,45,,75,7.000000000000001,3.99,3.77,10,2.9,5,203
L,Brett Martin,,,,78,,67,3.62,4.59,12.9,3.3,14.8,60
L,Brooks Raley,,,92,,,79,2.94,2.96,14.6,2.6,7.1,84
L,Caleb Baragar,,,,79,,,4.04,3.95,13.9,4.7,5.7,88
L,Caleb Ferguson,,,,90,,,3.82,3.51,14,4.3,4,75
L,Caleb Smith,,,,4,,,5.44,7.12,12.2,6.9,20,60
L,Caleb Thielbar,,23,,33,,,4.72,5.24,9.3,4.2,11,84
L,Chasen Shreve,100,,,16,,,3.51,4.13,14,3.6,11.8,100
L,Clayton Kershaw,,49,,83,,13,4.04,3.69,12.7,4.2,3.6,199
L,Cody Reed,,,,,12,51,3.35,4.25,12,2.4,14.5,55
L,Dallas Keuchel,59,,69,,33,,3.85,3.81,9.9,2.5,6.6,258
L,Daniel Castano,33,,,49,37,8,4.55,4.78,8.4,3.4,8.7,127
L,Daniel Norris,77,,,56.00000000000001,,23,3.66,3.57,12.8,3.4,6,116
L,Danny Duffy,28.000000000000004,54,,66,53,51,4.07,4.36,10.9,3.5,9.1,242
L,David Peterson,18,,,37,37,59,3.96,4.55,11.3,3.4,11.7,205
L,Derek Holland,6,,,,8,,5.08,5.34,11.3,5.8,8.4,182
L,Devin Smeltzer,10,,,1,,,5.28,5.35,10.2,5.7,6.9,72
L,Drew Pomeranz,94,,,93,,,3.44,4.27,13,3,13.7,73
L,Drew Smyly,,91,14.000000000000002,63,,,3.62,3.78,12.4,3.1,8.1,111
L,Eric Lauer,,,17,8,,,4.8,5.79,9.8,4.5,14.8,61
L,Framber Valdez,23,94,,,45,,3.78,3.6,9.3,2.1,5.6,306
L,Genesis Cabrera,28.000000000000004,70,,85,,,3.6,4.78,11.5,2.7,16.7,96
L,Gio Gonzalez,75,74,,31,69,,3.78,4.45,11.1,2.9,12.4,156
L,Grant Dayton,,19,,51,,,4.48,4.71,10.8,4.3,8.5,116
L,Gregory Soto,,,,,10,100,4.6,5.41,10.5,4.4,13.3,98
L,Hoby Milner,,3,,,26,,4.91,5.33,7.3,3.7,10.2,58
L,Hyun Jin Ryu,67,35,28.000000000000004,44,67,,4.01,3.93,10.1,3,6.2,275
L,J.A. Happ,41,,,34,72,10,4.31,4.43,10.4,3.7,7.7,197
