player_name,p_throws,stand,sugg1,sugg2,sugg3,sugg4,xFF,xSI,xFC,xSL,xCU,xCH
Aaron Loup,L,L,FC,SI,CU,,NA,0.91,0.97,NA,0.48,NA
Aaron Loup,L,R,FC,CH,SI,,NA,0.27,0.68,NA,NA,0.43
Brad Brach,R,L,SI,CH,FC,FF,0.04,0.69,0.24,NA,NA,0.43
Brad Brach,R,R,CH,SI,SL,FF,0.16,0.49,0.09,0.28,NA,0.87
Carlos Carrasco,R,L,CU,FF,SL,CH,0.53,0.11,NA,0.52,0.9,0.31
Carlos Carrasco,R,R,CU,SL,CH,FF,0.4,NA,NA,0.78,0.96,0.65
Corey Oswalt,R,L,FF,CH,,,0.4,NA,NA,NA,NA,0.12
Corey Oswalt,R,R,CH,SL,FF,,0.26,NA,NA,0.65,NA,0.74
David Peterson,L,L,SI,SL,FF,,0.04,0.91,NA,0.39,NA,NA
David Peterson,L,R,CH,SL,SI,FF,0.16,0.49,NA,0.52,0.02,0.74
Dellin Betances,R,L,CU,FF,,,0.09,NA,NA,NA,0.48,NA
Dellin Betances,R,R,CU,SL,FF,,0.26,NA,NA,0.28,0.57,NA
Drew Smith,R,L,FF,CH,,,0.82,NA,NA,NA,NA,0.08
Drew Smith,R,R,FF,FC,,,0.99,NA,0.68,NA,NA,NA
Edwin Diaz,R,L,FF,SL,,,0.99,NA,NA,0.88,NA,NA
Edwin Diaz,R,R,SL,FF,,,0.88,NA,NA,0.95,NA,NA
Jacob Barnes,R,L,FC,FF,,,0.53,NA,0.81,NA,NA,NA
Jacob Barnes,R,R,FF,FC,,,0.93,NA,0.68,NA,NA,NA
Jacob deGrom,R,L,SL,FF,CH,CU,0.99,NA,NA,1,0.69,0.74
Jacob deGrom,R,R,FF,SL,CH,,1,NA,NA,0.95,NA,0.82
Jeurys Familia,R,L,CH,FF,SL,SI,0.64,0.27,NA,0.39,NA,0.74
Jeurys Familia,R,R,SI,SL,FF,,0.16,0.83,NA,0.78,NA,NA
Joey Lucchesi,L,L,SI,,,,NA,0.49,NA,NA,NA,NA
Joey Lucchesi,L,R,CU,SI,,,NA,0.27,NA,NA,0.36,NA
Miguel Castro,R,L,SI,SL,CH,,NA,0.83,NA,0.65,NA,0.21
Miguel Castro,R,R,SL,CH,SI,,NA,0.69,NA,0.95,NA,0.91
Robert Gsellman,R,L,SI,FF,CH,,0.4,0.49,NA,NA,NA,0.31
Robert Gsellman,R,R,SL,SI,FF,,0.26,0.49,NA,0.65,NA,NA
Seth Lugo,R,L,CU,FF,SI,CH,0.53,0.27,NA,NA,0.57,0.21
Seth Lugo,R,R,CU,SL,FF,SI,0.64,0.27,NA,0.65,0.94,NA
Stephen Tarpley,L,L,CU,SI,,,NA,0.69,NA,NA,0.81,NA
Stephen Tarpley,L,R,CU,SI,,,NA,0.11,NA,NA,0.25,NA
Trevor Bauer,R,L,FF,SI,CU,FC,0.88,0.83,0.68,0.07,0.81,NA
Trevor Bauer,R,R,FF,FC,CU,SL,0.93,0.04,0.88,0.52,0.76,NA
Trevor May,R,L,SI,FF,SL,CH,0.96,1,NA,0.65,NA,0.21
Trevor May,R,R,FF,SL,CH,,0.96,NA,NA,0.78,NA,0.21
