player_name,exp_whiff_rate,n,exp_whiff_rate_FF,exp_whiff_rate_SI,exp_whiff_rate_SL,exp_whiff_rate_CH,exp_whiff_rate_CU,exp_whiff_rate_FC,n_FF,n_SI,n_SL,n_CH,n_CU,n_FC,f_p_str,exp_HR_rate,n1,exp_HR_rate_FF,exp_HR_rate_SI,exp_HR_rate_SL,exp_HR_rate_CH,exp_HR_rate_CU,exp_HR_rate_FC,n_FF1,n_SI1,n_SL1,n_CH1,n_CU1,n_FC1
Rex Brothers,0.4076470588235295,34,0.27,0,0.53,0,0,0,16,0,18,0,0,0,0.3333333333333333,0.026000000000000002,15,0.04,0.01,0.02,0,0,0,5,1,9,0,0,0
Devin Williams,0.3880628272251309,191,0.27,0.17,0,0.47,0,0.42,70,5,0,113,0,3,0.6,0.0262,100,0.04,0.02,0,0.02,0,0,31,2,0,67,0,0
Jacob deGrom,0.38263934426229507,610,0.34,0,0.43,0.39,0.31,0,257,0,241,96,16,0,0.599250936329588,0.027583643122676575,269,0.03,0,0.03,0.02,0.02,0,106,0,98,55,10,0
Amir Garrett,0.37109243697478994,119,0.16,0.12,0.48,0,0,0,36,4,79,0,0,0,0.5454545454545454,0.027575757575757576,66,0.04,0.03,0.02,0,0,0,23,4,39,0,0,0
Dillon Maples,0.36800000000000005,10,0.13,0.19,0.46,0,0.8,0,3,1,5,0,1,0,0.4444444444444444,0.024444444444444446,9,0.03,0.02,0.02,0,0.03,0,3,3,2,0,1,0
Robert Stephenson,0.36765432098765427,81,0.23,0,0.43,0.28,0,0,23,0,55,3,0,0,0.5897435897435898,0.042249999999999996,40,0.05,0,0.04,0.02,0,0,13,0,25,2,0,0
Gerrit Cole,0.3602147239263803,652,0.3,0,0.44,0.42,0,0,355,0,181,116,0,0,0.6412698412698413,0.03174603174603175,315,0.04,0,0.02,0.04,0.02,0,171,0,81,14,49,0
Scott Barlow,0.35675105485232067,237,0.22,0,0.43,0,0.44,0,85,0,103,0,49,0,0.6129032258064516,0.026504065040650407,123,0.04,0,0.02,0,0.02,0,40,0,52,0,31,0
Ken Giles,0.3563636363636364,33,0.21,0,0.44,0,0,0,12,0,21,0,0,0,0.7222222222222222,0.04111111111111111,18,0.05,0,0.03,0,0,0,10,0,8,0,0,0
Blake Snell,0.3554922279792746,386,0.25,0,0.53,0.33,0.58,0,202,0,55,69,60,0,0.6345177664974619,0.0266497461928934,197,0.03,0,0.03,0.02,0.02,0,103,0,28,28,38,0
