player_name,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
Jacob deGrom,2.15,2.13,18.9,2.8,6.7,269
Devin Williams,2.39,2.64,17.4,2.6,9,100
Tanner Scott,2.51,3.08,16.5,2.5,11.6,87
Ryan Pressly,2.54,2.5,15.9,2.3,6.6,90
Blake Snell,2.66,2.9,16.1,2.7,8.9,197
Walker Buehler,2.67,2.74,15.8,2.6,7.5,147
Miguel Castro,2.76,3.27,13.5,1.8,11.3,115
Shaun Anderson,2.79,4.11,14.8,2.4,17.9,68
Corbin Burnes,2.82,3.18,14.5,2.3,10,241
Josh Hader,2.82,3.55,16.7,3.3,12.8,78
Anthony Misiewicz,2.82,2.68,12.5,1.4,6,82
Trevor May,2.84,2.89,15.5,2.8,7.3,99
Gerrit Cole,2.85,2.74,16.4,3.2,5.9,315
Jordan Romano,2.85,3.09,16,3,8.8,51
Alex Reyes,2.88,3.87,15.2,2.7,15.1,86
Brooks Raley,2.94,2.96,14.6,2.6,7.1,84
Enoli Paredes,2.95,3.6,15.5,3,12.2,91
Wandy Peralta,2.96,3.28,14.3,2.5,9.6,108
Shane Bieber,2.96,3,15.7,3.1,7.1,323
Pete Fairbanks,2.98,3.59,14.1,2.5,12,119
Victor Gonzalez,2.99,2.43,12.2,1.7,2.5,80
Tyler Glasnow,3.02,3.3,14.4,2.7,9.2,236
Tanner Rainey,3.03,3.19,15.9,3.4,8,74
Luis Cessa,3.05,3.12,14.3,2.7,7.5,102
Alex Colome,3.05,3.29,13.7,2.5,8.9,93
Scott Barlow,3.06,2.9,14.1,2.7,5.6,123
Ryan Helsley,3.06,3.88,15.7,3.4,13.5,51
Dan Altavilla,3.06,3.9,17.2,4,13.5,89
Diego Castillo,3.07,3.72,13,2.2,12.4,89
Paul Fry,3.08,3.34,12.7,2.1,9.2,98
Trevor Rosenthal,3.08,3.32,14.8,3,8.8,91
Sam Coonrod,3.11,3.46,13.2,2.4,9.9,71
Raisel Iglesias,3.11,2.82,15.1,3.2,4.4,84
Luis Castillo,3.12,3.26,12.5,2.1,8.2,268
Edwin Diaz,3.13,3.77,16.9,4,11.9,105
Hansel Robles,3.15,3.84,15,3.2,12.5,80
Julio Urias,3.15,3.28,13.2,2.5,8,220
Garrett Richards,3.16,3.28,12.4,2.2,8,213
Carlos Carrasco,3.16,3.49,14,2.8,9.6,280
Greg Holland,3.17,2.98,12.8,2.3,5.4,111
Lucas Sims,3.18,3.75,14.8,3.2,11.5,104
Tony Gonsolin,3.18,2.85,14.4,3,4,176
Yimi Garcia,3.2,3.37,14,2.9,8.3,60
Nick Nelson,3.2,3.85,14.5,3.1,12.2,91
Drew Rasmussen,3.2,3.91,14.4,3.1,12.7,71
Michael Lorenzen,3.21,3.72,14.9,3.3,10.9,145
Ryan Brasier,3.23,3.51,14.5,3.2,9.1,110
A.J. Minter,3.24,3.42,14.8,3.3,8.2,83
Wade Miley,3.24,4.02,12.8,2.5,13.4,66
Brandon Woodruff,3.28,3.18,12.8,2.6,6.1,291
Tyler Kinley,3.28,3.98,14.7,3.4,12.5,96
Jalen Beeks,3.29,3.04,12.3,2.4,4.9,68
Jake Diekman,3.29,4.04,13.1,2.7,13.1,86
Phil Maton,3.3,3.11,13.7,3,5.2,99
Will Harris,3.3,3.76,13.2,2.8,10.7,84
Luis Patino,3.3,4.47,13.7,3,16.5,85
Dylan Cease,3.31,4.04,14.1,3.2,12.9,255
Jonathan Hernandez,3.31,3.25,12.6,2.5,6.4,118
Blake Taylor,3.32,4,12.9,2.7,12.6,86
Amir Garrett,3.32,3.71,13.1,2.8,10.1,66
Taylor Widener,3.33,4.03,14.7,3.5,12.5,86
Craig Kimbrel,3.34,4.45,14.9,3.6,15.9,70
Cody Reed,3.35,4.25,12,2.4,14.5,55
Brusdar Graterol,3.36,2.92,10.6,1.8,3.4,88
Trevor Bauer,3.37,3.26,15.1,3.7,5.8,277
Mike Clevinger,3.37,3.59,14.3,3.4,8.6,165
Tyler Zuber,3.37,4.86,13.5,3.1,19.2,98
Tyler Matzek,3.37,3.55,13.1,2.9,8.3,121
Zack Wheeler,3.38,3.14,12.5,2.6,4.9,286
Kevin Gausman,3.39,3.36,13.8,3.2,6.5,246
Jacob Barnes,3.4,3.21,14.1,3.4,5.1,78
Yohan Ramirez,3.42,5.05,14.6,3.6,20.2,92
Jeurys Familia,3.42,4.28,11.1,2.2,14.2,118
Justin Wilson,3.43,3.71,11.5,2.3,9.3,83
Evan Marshall,3.43,3.5,12,2.5,7.5,96
Heath Hembree,3.44,3.7,14,3.4,8.9,90
Jake Newberry,3.44,4.15,12.4,2.7,12.8,94
Josh Staumont,3.44,4.35,13.8,3.3,14.3,113
Drew Pomeranz,3.44,4.27,13,3,13.7,73
Chris Stratton,3.45,3.82,13.2,3.1,9.9,132
Hector Neris,3.45,3.92,13.5,3.2,10.7,101
Dylan Floro,3.46,2.99,11.4,2.4,3.1,97
Josh Fleming,3.46,3.25,9.7,1.6,5.4,131
Nate Pearson,3.47,4.59,14.4,3.7,16,81
Jose Cisnero,3.47,3.64,14,3.5,8.1,122
Daniel Bard,3.48,3.56,13.2,3.2,7.5,103
Colten Brewer,3.48,4.05,13.4,3.2,11.5,122
Dinelson Lamet,3.48,3.58,14,3.5,7.5,267
Masahiro Tanaka,3.48,3.16,13.1,3.1,4.1,198
Rafael Dolis,3.49,4.33,11.3,2.4,14,96
Yu Darvish,3.49,3.21,13.6,3.4,4.4,296
Rowan Wick,3.5,3.51,13.9,3.5,6.8,73
Dakota Bacus,3.5,4.57,11.7,2.6,15.8,57
Blake Treinen,3.5,3.44,10.5,2,6.5,107
Jason Adam,3.5,4.36,13.9,3.5,13.8,58
Steven Brault,3.51,4.16,11.7,2.6,12.4,176
Rafael Montero,3.51,3.68,12.3,2.9,8.3,72
Chasen Shreve,3.51,4.13,14,3.6,11.8,100
Mike Kickham,3.51,3.37,11.9,2.7,5.7,69
Keynan Middleton,3.53,4.09,14.5,3.8,11.3,53
Anthony DeSclafani,3.53,3.93,12.6,3,10.1,161
Aaron Nola,3.55,3.6,12,2.8,7.3,287
Dustin May,3.56,3.57,10.8,2.3,7.1,225
Jonathan Loaisiga,3.57,3.47,12.4,3,6,99
Taylor Rogers,3.57,3.26,11,2.4,4.4,94
Robert Stock,3.58,4.7,13.1,3.3,16.1,62
Liam Hendriks,3.59,3.05,14,3.7,2.2,91
Trevor Gott,3.59,4.47,14.1,3.8,14,57
Max Fried,3.59,3.76,9.4,1.8,8.5,226
Lance McCullers Jr.,3.59,3.8,10,2,8.8,229
Shawn Armstrong,3.59,3.41,12.6,3.2,5.3,57
Ryan Borucki,3.6,4.59,11.6,2.7,15.1,71
Marcus Walden,3.6,4.3,11.2,2.6,12.7,72
Genesis Cabrera,3.6,4.78,11.5,2.7,16.7,96
Tyler Chatwood,3.61,4.04,11.2,2.6,10.5,86
Josh James,3.61,5.27,13.4,3.5,20.5,84
Drew Smyly,3.62,3.78,12.4,3.1,8.1,111
Brett Martin,3.62,4.59,12.9,3.3,14.8,60
Hector Rondon,3.63,3.93,12.3,3.1,9.3,95
Jeffrey Springs,3.64,3.56,12.3,3.1,6.1,98
Cole Sulser,3.64,4.76,13.4,3.6,16,99
Taylor Hearn,3.65,4.59,13.5,3.6,14.5,74
Dennis Santana,3.65,3.98,11.6,2.8,9.6,73
Sixto Sanchez,3.65,3.6,12.5,3.3,6.3,159
Daniel Norris,3.66,3.57,12.8,3.4,6,116
Max Scherzer,3.66,3.76,13.1,3.5,7.5,293
Jesus Luzardo,3.66,3.63,12.8,3.4,6.5,264
Yusei Kikuchi,3.66,4.09,12.4,3.2,10.3,194
Cesar Valdez,3.67,3.54,12.1,3.1,5.7,53
Vince Velasquez,3.68,4.12,13.2,3.6,10.4,153
Carlos Martinez,3.68,3.77,10.8,2.6,7.7,102
Luis Perdomo,3.68,4.48,11.1,2.7,13.5,74
Tyler Mahle,3.69,4.15,14.2,4,10.4,201
Luke Weaver,3.69,3.8,13.2,3.6,7.6,238
Daniel Hudson,3.69,4.35,14.4,4.1,12,91
Nathan Eovaldi,3.69,3.31,13.3,3.7,3.5,199
Mychal Givens,3.7,4.2,13.5,3.8,10.8,94
Martin Perez,3.7,4.15,10.2,2.4,10.7,263
Sonny Gray,3.7,4.21,11.5,2.9,11.1,236
Codi Heuer,3.71,4.07,11.4,2.9,9.8,92
Anthony Bass,3.72,3.72,10.7,2.6,7,98
Yency Almonte,3.72,3.54,12.4,3.4,5.3,113
Justus Sheffield,3.72,3.92,10.2,2.4,8.6,234
Kyle Wright,3.72,4.55,11.2,2.8,13.7,167
Kenta Maeda,3.73,3.39,12.4,3.3,4,268
Jorge Alcala,3.73,3.95,13.5,3.8,8.5,94
T.J. McFarland,3.74,3.53,8.8,1.8,5.4,93
James Karinchak,3.74,4.59,12.5,3.4,13.8,109
Mike Mayers,3.74,3.83,13,3.6,7.4,121
Joely Rodriguez,3.74,4.06,10.6,2.6,9.6,52
Anthony Kay,3.76,4.53,10.8,2.7,13.3,97
Sandy Alcantara,3.76,3.98,11.3,2.9,8.7,174
Nick Tropeano,3.76,3.7,13.5,3.9,6.1,66
JT Brubaker,3.77,3.94,11.4,3,8.3,206
Sam Selman,3.77,4.28,12.2,3.3,11,82
Yoshihisa Hirano,3.77,4.5,13.1,3.7,12.7,63
Kyle Funkhouser,3.77,4.58,11.2,3,13.6,81
Framber Valdez,3.78,3.6,9.3,2.1,5.6,306
Geoff Hartlieb,3.78,5.2,10.1,2.5,18.8,101
Luis Garcia,3.78,4.19,11.9,3.3,10.2,92
Luis Garcia,3.78,5.11,11.9,3.3,17.8,92
Gio Gonzalez,3.78,4.45,11.1,2.9,12.4,156
Adam Morgan,3.78,4.23,13.7,4.1,10.3,58
Casey Mize,3.78,4.14,11.6,3.1,9.8,132
Ryan Tepera,3.79,4.59,11.2,3,13.5,89
Buck Farmer,3.79,3.65,12.1,3.4,5.6,84
Casey Sadler,3.79,4.65,11.3,3,14,86
Tyler Alexander,3.79,3.67,10.9,2.9,5.9,147
Alex Cobb,3.8,3.92,10.2,2.6,8,226
Jordan Weems,3.8,4.45,12.6,3.6,12.1,58
Jairo Diaz,3.8,4.46,11.2,3,12.3,105
Pablo Lopez,3.81,3.83,10.8,2.8,7.1,240
Alex Wood,3.81,3.9,10.6,2.8,7.7,65
Alex Young,3.81,3.82,12,3.4,6.9,204
Jonathan Holder,3.81,4.18,11.6,3.2,9.9,100
Freddy Peralta,3.81,4.18,13.9,4.2,9.6,116
Robbie Ray,3.82,5.14,14.6,4.5,17.5,261
Jose Urena,3.82,4.5,11.4,3.1,12.5,105
Joe Musgrove,3.82,4.15,10.6,2.8,9.6,167
Caleb Ferguson,3.82,3.51,14,4.3,4,75
Frankie Montas,3.83,4.17,11.3,3.1,9.7,237
Cal Quantrill,3.83,3.63,11,3,5.2,133
Jace Fry,3.83,4.46,11.8,3.3,12,81
Brad Boxberger,3.84,4.25,12.3,3.6,10.1,79
Nate Jones,3.85,3.74,12.1,3.5,5.8,85
Dallas Keuchel,3.85,3.81,9.9,2.5,6.6,258
Kenley Jansen,3.86,4.1,11.2,3.1,8.8,97
Adbert Alzolay,3.86,4.83,11.2,3.1,14.9,87
Mark Melancon,3.86,3.54,11.1,3.1,4.2,92
Emilio Pagan,3.86,4.3,13.1,3.9,10.3,87
Seth Lugo,3.86,3.72,11.6,3.3,5.6,135
Logan Webb,3.86,4.16,10.8,2.9,9.3,229
Jake Odorizzi,3.87,3.66,12.2,3.5,5,60
Spencer Turnbull,3.87,4.43,9.9,2.6,11.6,241
Pedro Baez,3.87,4.28,13.5,4.1,10,70
Matt Andriese,3.87,4.1,11.7,3.4,8.7,126
Ryan Yarbrough,3.87,3.61,10.8,3,4.7,220
Jeremy Jeffress,3.87,4.54,10.4,2.8,12.5,87
Jimmy Cordero,3.87,3.7,9.6,2.5,5.6,122
Taylor Clarke,3.88,4.34,12.8,3.9,10.4,181
Taylor Williams,3.89,4.19,14.3,4.5,9,66
Lou Trivino,3.89,4.36,10.4,2.8,10.8,94
Brady Singer,3.89,4.1,9.8,2.6,8.7,263
Matt Wisler,3.89,4.66,12,3.5,13.1,107
Josh Osich,3.89,3.76,10.8,3,5.8,87
John King,3.89,3.99,9.4,2.4,7.8,51
J.B. Wendelken,3.9,4.34,11.6,3.4,10.4,115
Matt Strahm,3.9,3.65,10.2,2.8,4.8,84
Kendall Graveman,3.91,4.32,9.2,2.4,10.4,77
Zack Britton,3.91,4.17,8.8,2.2,9.2,77
Merrill Kelly,3.91,3.46,10.1,2.7,3.2,124
Trevor Williams,3.91,4.09,11.1,3.2,8.3,252
Kyle Freeland,3.91,4.01,10.7,3,7.6,305
Kyle Zimmer,3.92,4.42,11.1,3.2,11,91
Chad Green,3.92,3.83,11.7,3.5,6,98
Will Smith,3.92,3.9,12.4,3.8,6.5,62
Zac Gallen,3.92,4.16,12.5,3.8,8.6,291
Luke Jackson,3.93,4.31,12.6,3.8,9.8,133
Nick Anderson,3.93,3.75,12.1,3.6,5.2,62
Jack Flaherty,3.93,4.25,11.5,3.4,9.4,170
Yonny Chirinos,3.93,4.03,10.5,3,7.7,52
Dovydas Neverauskas,3.93,4.47,11.9,3.6,11.2,89
Josh A. Smith,3.93,4.01,11.8,3.5,7.4,119
Patrick Sandoval,3.94,4.03,12,3.6,7.5,159
Carlos Estevez,3.94,4.08,12.8,4,7.8,116
Richard Bleier,3.94,3.64,9.3,2.5,4.5,66
Bryse Wilson,3.94,4.61,11.6,3.5,12.3,73
Erick Fedde,3.95,4.19,9.1,2.4,9,220
Duane Underwood Jr.,3.95,3.82,11.5,3.4,5.7,87
Griffin Canning,3.95,4.33,13.1,4.2,9.7,238
Dillon Tate,3.95,4.07,11.1,3.3,7.8,66
Dan Winkler,3.95,4.9,12.3,3.8,14.5,76
David Peterson,3.96,4.55,11.3,3.4,11.7,205
Aaron Civale,3.97,3.76,10.5,3.1,5.1,313
German Marquez,3.97,4.02,10.4,3,7.3,343
Phillips Valdez,3.97,4.56,10.5,3.1,11.7,133
Andrew Miller,3.97,4.24,9.9,2.8,9.1,55
Chad Kuhl,3.97,4.87,11.5,3.5,14.2,198
Tejay Antone,3.98,4.53,11.8,3.6,11.3,142
Julian Merryweather,3.98,4.5,13.3,4.3,10.9,55
Bryan Garcia,3.98,4.45,10.2,2.9,10.8,90
Kyle Gibson,3.98,4.31,10.2,3,9.6,301
Kevin Ginkel,3.98,4.85,12.6,4,13.9,77
Touki Toussaint,3.98,4.77,11.2,3.4,13.3,120
Dakota Hudson,3.98,4.26,9.1,2.5,9.3,150
Brad Keller,3.98,4.1,9.2,2.5,7.9,215
Zach Eflin,3.99,3.88,9.3,2.6,6.1,245
Scott Alexander,3.99,4.99,8,2,15.4,51
Brett Anderson,3.99,3.77,10,2.9,5,203
Johan Oviedo,4,4.24,10.2,3,8.9,112
Hyun Jin Ryu,4.01,3.93,10.1,3,6.2,275
Alex Claudio,4.01,4.06,9.1,2.6,7.4,80
Tanner Houck,4.02,4.91,10,2.9,14.3,63
Lucas Giolito,4.02,4.39,12.2,3.9,9.7,311
Chris Martin,4.03,3.58,11.1,3.4,3,65
Caleb Baragar,4.04,3.95,13.9,4.7,5.7,88
Zach Plesac,4.04,3.59,11.8,3.8,2.9,207
Clayton Kershaw,4.04,3.69,12.7,4.2,3.6,199
Adrian Houser,4.05,4.24,8.9,2.6,8.5,249
Matthew Boyd,4.06,4.23,11.5,3.7,8.1,271
Adam Kolarek,4.06,3.88,7.5,2,5.6,72
Nik Turley,4.06,4.55,10.1,3.1,10.9,91
Ian Anderson,4.06,4.48,12,3.9,10.1,137
Tony Watson,4.07,3.73,9.8,2.9,4.1,74
Matt Shoemaker,4.07,4.19,11.1,3.5,7.8,125
Anibal Sanchez,4.07,4.03,10.3,3.2,6.5,244
Danny Duffy,4.07,4.36,10.9,3.5,9.1,242
Jose Urquidy,4.08,4.1,11.1,3.6,6.9,116
Carlos Hernandez,4.09,4.36,11.3,3.7,9,67
Junior Guerra,4.09,4.8,11,3.5,12.6,100
James Hoyt,4.1,4.65,11.4,3.7,11.3,61
Trevor Rogers,4.1,4.5,11.6,3.8,10,130
Steven Matz,4.1,4.13,11.1,3.6,7,143
Chase Anderson,4.1,4.08,11.2,3.7,6.5,140
Antonio Senzatela,4.1,3.99,9.8,3,5.9,303
Deivi Garcia,4.1,3.8,12.3,4.1,4.1,146
Shane Greene,4.1,4.16,9.5,2.9,7.3,108
Felix Pena,4.1,4.13,10.6,3.4,7,114
Noe Ramirez,4.11,4.29,11.5,3.8,8.2,84
Brandon Workman,4.11,4.63,12,4,10.9,99
Ian Kennedy,4.11,4.01,11.9,4,5.8,68
Jake Arrieta,4.12,4.3,9,2.7,8.4,188
Chris Mazza,4.12,4.63,10.4,3.3,11,136
Jordan Montgomery,4.12,3.89,11.7,3.9,4.7,193
Sergio Romo,4.13,4.26,9.5,3,8,87
Kolby Allard,4.13,4.9,10.2,3.3,13.2,153
Charlie Morton,4.13,4.03,10.5,3.4,5.9,171
Johnny Cueto,4.14,4.46,11.1,3.7,9.4,276
Walker Lockett,4.14,3.98,9.9,3.1,5.5,73
Tyler Webb,4.14,4.27,9.5,3,8,87
Randy Dobnak,4.15,4.1,9.4,2.9,6.5,200
Corey Knebel,4.15,4.91,12.4,4.2,12.9,62
Steve Cishek,4.16,4.51,10.7,3.5,9.7,93
Giovanny Gallegos,4.17,4.21,11.6,3.9,7,57
Tyler Duffey,4.17,4.13,10.2,3.4,6.5,95
Reynaldo Lopez,4.17,4.86,11.7,4,12.4,121
Matt Barnes,4.17,4.91,12.2,4.2,12.7,100
John Means,4.17,3.87,12.7,4.4,4,176
Jose Berrios,4.18,4.53,10.8,3.6,9.6,272
Seth Elledge,4.18,5.22,9.9,3.2,15.4,52
Cody Stashak,4.18,4.03,12.2,4.3,5.3,57
Sean Newcomb,4.19,4.41,10.4,3.5,8.6,70
Zack Godley,4.19,4.54,8.7,2.8,9.8,143
Robert Dugger,4.19,4.04,11.4,3.9,5.4,56
Pierce Johnson,4.19,4.74,11.5,4,11.2,80
Trevor Cahill,4.2,4.88,10.6,3.6,12.4,107
Javy Guerra,4.2,4.59,9.8,3.3,10,137
Javy Guerra,4.2,4.28,9.8,3.3,7.5,137
Ryan Thompson,4.2,4.22,9.4,3.1,7,114
Adam Ottavino,4.21,4.67,10.5,3.6,10.6,85
John Curtiss,4.21,3.77,11.5,4,3,88
Evan Phillips,4.21,4.99,10.5,3.6,13.2,68
Kyle Cody,4.21,5.11,11.7,4.1,14.1,91
Michael Fulmer,4.22,4.46,9.4,3.1,8.8,136
Corey Oswalt,4.22,3.87,12.3,4.4,3.6,55
Nick Goody,4.22,5.18,12.4,4.4,14.5,55
Ian Gibaut,4.22,5.27,11.8,4.1,15.3,58
Dane Dunning,4.22,4.51,9.5,3.1,9.2,142
Ryan Castellani,4.23,5.09,11.2,3.9,13.8,189
Nick Wittgren,4.23,3.93,11.6,4.1,4.1,95
Tarik Skubal,4.24,4.44,12.9,4.7,8.2,133
Tyler Anderson,4.26,4.62,11.5,4.1,9.6,261
Rony Garcia,4.26,4.59,10.9,3.9,9.4,96
Cristian Javier,4.27,4.5,12,4.4,8.4,214
Jon Gray,4.29,4.24,10.6,3.8,6.3,174
Tommy Hunter,4.29,4.19,9.8,3.4,5.9,102
Shun Yamaguchi,4.29,5.22,12,4.4,14.2,120
Blake Parker,4.3,4.71,10.8,3.9,10.1,67
Ross Stripling,4.3,4.49,11.1,4,8.2,218
